implementation;workload;n;time_total;time_per_op
ListSet;insert_distinct;1000;0.000450926;0.00000045092599999999997
ListSet;lookup_hit;1000;0.000428636;0.000000428636
ListSet;lookup_miss;1000;0.000435268;0.000000435268
ListSet;insert_sorted;1000;0.00041468;0.00000041468
BstSet;insert_distinct;1000;0.000059649;0.000000059649
BstSet;lookup_hit;1000;0.000096366;0.000000096366
BstSet;lookup_miss;1000;0.000069457;0.000000069457
BstSet;insert_sorted;1000;0.000552212;0.000000552212
BstAvlSet;insert_distinct;1000;0.000083343;0.00000008334300000000001
BstAvlSet;lookup_hit;1000;0.000116013;0.00000011601300000000001
BstAvlSet;lookup_miss;1000;0.000089915;0.000000089915
BstAvlSet;insert_sorted;1000;0.000034493;0.000000034493
BstRBSet;insert_distinct;1000;0.000084434;0.000000084434
BstRBSet;lookup_hit;1000;0.000088943;0.000000088943
BstRBSet;lookup_miss;1000;0.000089714;0.000000089714
BstRBSet;insert_sorted;1000;0.000052336;0.000000052336
HashChainingSet;insert_distinct;1000;0.000122595;0.000000122595
HashChainingSet;lookup_hit;1000;0.000097759;0.000000097759
HashChainingSet;lookup_miss;1000;0.000098681;0.000000098681
HashChainingSet;insert_sorted;1000;0.00008206;0.00000008206
HashProbingSet;insert_distinct;1000;0.000088582;0.000000088582
HashProbingSet;lookup_hit;1000;0.000097318;0.00000009731800000000001
HashProbingSet;lookup_miss;1000;0.000097589;0.000000097589
HashProbingSet;insert_sorted;1000;0.000082311;0.000000082311
ListSet;insert_distinct;1321;0.000784278;0.0000005937002271006813
ListSet;lookup_hit;1321;0.000792984;0.0000006002906888720667
ListSet;lookup_miss;1321;0.000791751;0.0000005993573050719153
ListSet;insert_sorted;1321;0.000794306;0.0000006012914458743376
BstSet;insert_distinct;1321;0.000083693;0.0000000633557910673732
BstSet;lookup_hit;1321;0.000137331;0.00000010395987887963664
BstSet;lookup_miss;1321;0.000095715;0.0000000724564723694171
BstSet;insert_sorted;1321;0.001389527;0.0000010518750946252839
BstAvlSet;insert_distinct;1321;0.000112736;0.00000008534140802422408
BstAvlSet;lookup_hit;1321;0.000162568;0.00000012306434519303558
BstAvlSet;lookup_miss;1321;0.000126121;0.00000009547388342165027
BstAvlSet;insert_sorted;1321;0.000051895;0.00000003928463285389856
BstRBSet;insert_distinct;1321;0.000115752;0.00000008762452687358062
BstRBSet;lookup_hit;1321;0.000124568;0.00000009429825889477669
BstRBSet;lookup_miss;1321;0.000122384;0.00000009264496593489782
BstRBSet;insert_sorted;1321;0.000072643;0.00000005499091597274792
HashChainingSet;insert_distinct;1321;0.000109912;0.00000008320363361090084
HashChainingSet;lookup_hit;1321;0.000110352;0.00000008353671461014384
HashChainingSet;lookup_miss;1321;0.000111404;0.000000084333080999243
HashChainingSet;insert_sorted;1321;0.000088262;0.00000006681453444360333
HashProbingSet;insert_distinct;1321;0.000097989;0.0000000741778955336866
HashProbingSet;lookup_hit;1321;0.000112977;0.00000008552384557153671
HashProbingSet;lookup_miss;1321;0.000112626;0.00000008525813777441332
HashProbingSet;insert_sorted;1321;0.000089955;0.00000006809613928841787
ListSet;insert_distinct;1746;0.001397452;0.0000008003734249713631
ListSet;lookup_hit;1746;0.001403222;0.0000008036781214203894
ListSet;lookup_miss;1746;0.001421926;0.0000008143906071019473
ListSet;insert_sorted;1746;0.002204902;0.0000012628304696449026
BstSet;insert_distinct;1746;0.000112066;0.000000064184421534937
BstSet;lookup_hit;1746;0.000188015;0.00000010768327605956473
BstSet;lookup_miss;1746;0.000126983;0.00000007272794959908361
BstSet;insert_sorted;1746;0.004873944;0.0000027914914089347077
BstAvlSet;insert_distinct;1746;0.000159773;0.00000009150801832760595
BstAvlSet;lookup_hit;1746;0.000228579;0.00000013091580756013746
BstAvlSet;lookup_miss;1746;0.000175823;0.0000001007004581901489
BstAvlSet;insert_sorted;1746;0.000067835;0.000000038851660939289804
BstRBSet;insert_distinct;1746;0.000164943;0.00000009446907216494845
BstRBSet;lookup_hit;1746;0.000180471;0.00000010336254295532646
BstRBSet;lookup_miss;1746;0.000173247;0.00000009922508591065291
BstRBSet;insert_sorted;1746;0.000100444;0.00000005752806414662085
HashChainingSet;insert_distinct;1746;0.000244919;0.00000014027434135166094
HashChainingSet;lookup_hit;1746;0.000213191;0.00000012210252004581903
HashChainingSet;lookup_miss;1746;0.000221415;0.00000012681271477663231
HashChainingSet;insert_sorted;1746;0.000182965;0.00000010479095074455899
HashProbingSet;insert_distinct;1746;0.000199255;0.00000011412084765177548
HashProbingSet;lookup_hit;1746;0.000216156;0.00000012380068728522338
HashProbingSet;lookup_miss;1746;0.000218621;0.00000012521248568155784
HashProbingSet;insert_sorted;1746;0.000196491;0.00000011253780068728522
ListSet;insert_distinct;2308;0.002519278;0.0000010915415944540727
ListSet;lookup_hit;2308;0.002551016;0.0000011052928942807627
ListSet;lookup_miss;2308;0.002533304;0.0000010976187175043328
ListSet;insert_sorted;2308;0.003348158;0.0000014506750433275563
BstSet;insert_distinct;2308;0.000158841;0.00000006882192374350087
BstSet;lookup_hit;2308;0.000263904;0.00000011434315424610054
BstSet;lookup_miss;2308;0.000183817;0.00000007964341421143847
BstSet;insert_sorted;2308;0.006436749;0.0000027888860485268633
BstAvlSet;insert_distinct;2308;0.000216858;0.00000009395927209705373
BstAvlSet;lookup_hit;2308;0.00031611;0.00000013696273830155978
BstAvlSet;lookup_miss;2308;0.00024023;0.00000010408578856152512
BstAvlSet;insert_sorted;2308;0.000093452;0.00000004049046793760832
BstRBSet;insert_distinct;2308;0.000232226;0.00000010061785095320624
BstRBSet;lookup_hit;2308;0.000235171;0.00000010189384748700174
BstRBSet;lookup_miss;2308;0.000233568;0.00000010119930675909878
BstRBSet;insert_sorted;2308;0.000138574;0.00000006004072790294627
HashChainingSet;insert_distinct;2308;0.000240571;0.00000010423353552859619
HashChainingSet;lookup_hit;2308;0.000235943;0.00000010222833622183708
HashChainingSet;lookup_miss;2308;0.000243216;0.00000010537954939341422
HashChainingSet;insert_sorted;2308;0.000198494;0.00000008600259965337954
HashProbingSet;insert_distinct;2308;0.000220665;0.00000009560875216637782
HashProbingSet;lookup_hit;2308;0.00024559;0.00000010640814558058926
HashProbingSet;lookup_miss;2308;0.000238657;0.00000010340424610051994
HashProbingSet;insert_sorted;2308;0.000205737;0.00000008914081455805893
ListSet;insert_distinct;3050;0.004268584;0.000001399535737704918
ListSet;lookup_hit;3050;0.004297046;0.0000014088675409836064
ListSet;lookup_miss;3050;0.005732948;0.0000018796550819672131
ListSet;insert_sorted;3050;0.006937657;0.0000022746416393442623
BstSet;insert_distinct;3050;0.000227296;0.00000007452327868852459
BstSet;lookup_hit;3050;0.000373956;0.00000012260852459016394
BstSet;lookup_miss;3050;0.000247463;0.00000008113540983606558
BstSet;insert_sorted;3050;0.012162343;0.0000039876534426229515
BstAvlSet;insert_distinct;3050;0.000295692;0.00000009694819672131149
BstAvlSet;lookup_hit;3050;0.000427464;0.00000014015213114754099
BstAvlSet;lookup_miss;3050;0.000325036;0.00000010656918032786886
BstAvlSet;insert_sorted;3050;0.000129698;0.00000004252393442622951
BstRBSet;insert_distinct;3050;0.000306552;0.00000010050885245901639
BstRBSet;lookup_hit;3050;0.000319395;0.00000010471967213114754
BstRBSet;lookup_miss;3050;0.000323743;0.00000010614524590163934
BstRBSet;insert_sorted;3050;0.000190129;0.00000006233737704918034
HashChainingSet;insert_distinct;3050;0.000285644;0.00000009365377049180328
HashChainingSet;lookup_hit;3050;0.000274603;0.00000009003377049180327
HashChainingSet;lookup_miss;3050;0.000279463;0.00000009162721311475409
HashChainingSet;insert_sorted;3050;0.000215324;0.00000007059803278688525
HashProbingSet;insert_distinct;3050;0.000245891;0.00000008061999999999999
HashProbingSet;lookup_hit;3050;0.000272018;0.00000008918622950819673
HashProbingSet;lookup_miss;3050;0.000274283;0.0000000899288524590164
HashProbingSet;insert_sorted;3050;0.000216718;0.00000007105508196721312
ListSet;insert_distinct;4032;0.007222248;0.0000017912321428571427
ListSet;lookup_hit;4032;0.007268153;0.0000018026173115079366
ListSet;lookup_miss;4032;0.007267421;0.0000018024357638888888
ListSet;insert_sorted;4032;0.007344031;0.000001821436259920635
BstSet;insert_distinct;4032;0.000294881;0.00000007313516865079365
BstSet;lookup_hit;4032;0.00050201;0.0000001245064484126984
BstSet;lookup_miss;4032;0.000335014;0.00000008308878968253969
BstSet;insert_sorted;4032;0.022326654;0.000005537364583333333
BstAvlSet;insert_distinct;4032;0.000393983;0.00000009771403769841269
BstAvlSet;lookup_hit;4032;0.000575806;0.00000014280902777777777
BstAvlSet;lookup_miss;4032;0.000432272;0.00000010721031746031745
BstAvlSet;insert_sorted;4032;0.000169621;0.0000000420687003968254
BstRBSet;insert_distinct;4032;0.000401716;0.00000009963194444444444
BstRBSet;lookup_hit;4032;0.000424859;0.00000010537177579365079
BstRBSet;lookup_miss;4032;0.000417435;0.00000010353050595238096
BstRBSet;insert_sorted;4032;0.000255168;0.00000006328571428571428
HashChainingSet;insert_distinct;4032;0.000493735;0.00000012245411706349207
HashChainingSet;lookup_hit;4032;0.000498083;0.00000012353249007936508
HashChainingSet;lookup_miss;4032;0.000490629;0.00000012168377976190477
HashChainingSet;insert_sorted;4032;0.000428645;0.00000010631076388888889
HashProbingSet;insert_distinct;4032;0.000476354;0.00000011814335317460317
HashProbingSet;lookup_hit;4032;0.00049673;0.0000001231969246031746
HashProbingSet;lookup_miss;4032;0.000503803;0.0000001249511408730159
HashProbingSet;insert_sorted;4032;0.000428456;0.00000010626388888888889
ListSet;insert_distinct;5328;0.012274218;0.0000023037195945945945
ListSet;lookup_hit;5328;0.012180777;0.0000022861818693693695
ListSet;lookup_miss;5328;0.012205222;0.000002290769894894895
ListSet;insert_sorted;5328;0.016018382;0.0000030064530780780784
BstSet;insert_distinct;5328;0.000396337;0.00000007438757507507508
BstSet;lookup_hit;5328;0.000685907;0.0000001287362987987988
BstSet;lookup_miss;5328;0.000446599;0.00000008382113363363364
BstSet;insert_sorted;5328;0.038000554;0.000007132236111111111
BstAvlSet;insert_distinct;5328;0.000522398;0.00000009804767267267266
BstAvlSet;lookup_hit;5328;0.000784318;0.00000014720683183183183
BstAvlSet;lookup_miss;5328;0.000586826;0.00000011014001501501502
BstAvlSet;insert_sorted;5328;0.000228088;0.000000042809309309309306
BstRBSet;insert_distinct;5328;0.000533328;0.0000001000990990990991
BstRBSet;lookup_hit;5328;0.000598097;0.00000011225544294294295
BstRBSet;lookup_miss;5328;0.000564384;0.00000010592792792792794
BstRBSet;insert_sorted;5328;0.000333351;0.00000006256587837837838
HashChainingSet;insert_distinct;5328;0.000562581;0.00000010558952702702703
HashChainingSet;lookup_hit;5328;0.000520945;0.00000009777496246246246
HashChainingSet;lookup_miss;5328;0.000548556;0.0000001029572072072072
HashChainingSet;insert_sorted;5328;0.000459211;0.00000008618825075075075
HashProbingSet;insert_distinct;5328;0.000494186;0.00000009275262762762762
HashProbingSet;lookup_hit;5328;0.000555688;0.0000001042957957957958
HashProbingSet;lookup_miss;5328;0.00055126;0.00000010346471471471472
