workload;implementation;alpha;C
sort_random;selection;0.9581;3.1728e-10
sort_random;heap_sort;0.1039;1.8175e-8
sort_random;insertion;0.9837;1.0710e-10
sort_random;radix_sort_lsd;0.0683;4.9844e-9
sort_random;quick_lomuto;0.0428;2.7299e-8
sort_random;bubble;1.0639;1.9002e-10
sort_random;rust_std_sort;0.0265;1.2576e-8
sort_random;merge_sort_td;0.0341;3.6266e-8
sort_random;counting_sort;0.0387;7.0664e-9
sort_sorted;rust_std_sort;-0.0074;4.6935e-10
sort_sorted;merge_sort_td;0.0019;1.1373e-8
sort_sorted;heap_sort;0.0130;2.6009e-8
sort_sorted;selection;0.9537;3.2827e-10
sort_sorted;bubble;0.0128;3.7670e-10
sort_sorted;quick_lomuto;0.9451;4.4103e-10
sort_sorted;radix_sort_lsd;0.0789;1.8305e-9
sort_sorted;insertion;-0.0160;4.4542e-10
sort_sorted;counting_sort;0.2358;3.5901e-10
sort_reversed;radix_sort_lsd;0.0756;1.8971e-9
sort_reversed;heap_sort;0.0350;2.1844e-8
sort_reversed;merge_sort_td;-0.0003;1.1816e-8
sort_reversed;counting_sort;0.2958;2.2185e-10
sort_reversed;rust_std_sort;-0.0496;7.5201e-10
sort_reversed;selection;0.9269;4.3875e-10
sort_reversed;bubble;0.9816;2.5201e-10
sort_reversed;quick_lomuto;0.9816;2.7136e-10
sort_reversed;insertion;0.9989;1.4068e-10
sort_almost_sorted;merge_sort_td;0.0103;1.7100e-8
sort_almost_sorted;quick_lomuto;0.0881;1.5618e-8
sort_almost_sorted;counting_sort;0.2476;4.3229e-10
sort_almost_sorted;selection;0.9487;3.4947e-10
sort_almost_sorted;insertion;0.9730;1.4116e-11
sort_almost_sorted;heap_sort;0.0384;2.3230e-8
sort_almost_sorted;radix_sort_lsd;0.0636;2.5686e-9
sort_almost_sorted;rust_std_sort;0.0453;6.3087e-9
sort_almost_sorted;bubble;1.0463;1.1016e-10
