implementation;workload;n;time_total;time_per_op
bubble;sort_random;1000;0.000397784;0.000000397784
bubble;sort_sorted;1000;0.000000541;0.000000000541
bubble;sort_reversed;1000;0.000201292;0.000000201292
bubble;sort_almost_sorted;1000;0.000163091;0.000000163091
insertion;sort_random;1000;0.000100045;0.000000100045
insertion;sort_sorted;1000;0.000000431;0.00000000043099999999999996
insertion;sort_reversed;1000;0.000139718;0.00000013971799999999998
insertion;sort_almost_sorted;1000;0.000012463;0.000000012463
selection;sort_random;1000;0.000319831;0.000000319831
selection;sort_sorted;1000;0.000454439;0.000000454439
selection;sort_reversed;1000;0.000486048;0.000000486048
selection;sort_almost_sorted;1000;0.000463646;0.000000463646
merge_sort_td;sort_random;1000;0.000092891;0.00000009289100000000001
merge_sort_td;sort_sorted;1000;0.000022782;0.000000022782
merge_sort_td;sort_reversed;1000;0.000023163;0.000000023163
merge_sort_td;sort_almost_sorted;1000;0.000035466;0.000000035466
quick_lomuto;sort_random;1000;0.000069939;0.000000069939
quick_lomuto;sort_sorted;1000;0.000558611;0.000000558611
quick_lomuto;sort_reversed;1000;0.000256003;0.000000256003
quick_lomuto;sort_almost_sorted;1000;0.000028302;0.000000028302
heap_sort;sort_random;1000;0.000036257;0.000000036257000000000005
heap_sort;sort_sorted;1000;0.00002744;0.000000027440000000000003
heap_sort;sort_reversed;1000;0.000025978;0.000000025978
heap_sort;sort_almost_sorted;1000;0.000029815;0.000000029815
counting_sort;sort_random;1000;0.000010148;0.000000010148
counting_sort;sort_sorted;1000;0.000002104;0.000000002104
counting_sort;sort_reversed;1000;0.000002214;0.000000002214
counting_sort;sort_almost_sorted;1000;0.000002665;0.0000000026649999999999998
radix_sort_lsd;sort_random;1000;0.000008816;0.000000008816
radix_sort_lsd;sort_sorted;1000;0.000004618;0.0000000046179999999999996
radix_sort_lsd;sort_reversed;1000;0.000005149;0.000000005149
radix_sort_lsd;sort_almost_sorted;1000;0.0000057;0.0000000057
rust_std_sort;sort_random;1000;0.000015198;0.000000015197999999999998
rust_std_sort;sort_sorted;1000;0.000000591;0.000000000591
rust_std_sort;sort_reversed;1000;0.000000511;0.000000000511
rust_std_sort;sort_almost_sorted;1000;0.000008606;0.000000008606000000000001
bubble;sort_random;1321;0.000577065;0.00000043683951551854656
bubble;sort_sorted;1321;0.000000571;0.00000000043224829674489023
bubble;sort_reversed;1321;0.000353072;0.0000002672763058289175
bubble;sort_almost_sorted;1321;0.000279877;0.0000002118675246025738
insertion;sort_random;1321;0.00016783;0.00000012704769114307342
insertion;sort_sorted;1321;0.000000551;0.000000000417108251324754
insertion;sort_reversed;1321;0.000241847;0.00000018307872823618472
insertion;sort_almost_sorted;1321;0.000023223;0.00000001757986373959122
selection;sort_random;1321;0.000397835;0.00000030116199848599545
selection;sort_sorted;1321;0.000380603;0.000000288117335352006
selection;sort_reversed;1321;0.000609525;0.00000046141180923542767
selection;sort_almost_sorted;1321;0.000354675;0.0000002684897804693414
merge_sort_td;sort_random;1321;0.000051485;0.000000038974261922785767
merge_sort_td;sort_sorted;1321;0.000013044;0.000000009874337623012869
merge_sort_td;sort_reversed;1321;0.000013315;0.000000010079485238455716
merge_sort_td;sort_almost_sorted;1321;0.00002171;0.00000001643451930355791
quick_lomuto;sort_random;1321;0.000041867;0.00000003169341408024224
quick_lomuto;sort_sorted;1321;0.000419445;0.0000003175208175624527
quick_lomuto;sort_reversed;1321;0.000426738;0.0000003230416351249054
quick_lomuto;sort_almost_sorted;1321;0.000044612;0.00000003377138531415594
heap_sort;sort_random;1321;0.000050684;0.000000038367903103709307
heap_sort;sort_sorted;1321;0.000035085;0.000000026559424678274036
heap_sort;sort_reversed;1321;0.000035926;0.000000027196063588190767
heap_sort;sort_almost_sorted;1321;0.000039923;0.00000003022180166540499
counting_sort;sort_random;1321;0.000015218;0.00000001152006056018168
counting_sort;sort_sorted;1321;0.000002695;0.0000000020401211203633612
counting_sort;sort_reversed;1321;0.000002685;0.000000002032551097653293
counting_sort;sort_almost_sorted;1321;0.000004037;0.0000000030560181680545037
radix_sort_lsd;sort_random;1321;0.000011792;0.000000008926570779712338
radix_sort_lsd;sort_sorted;1321;0.000004458;0.0000000033747161241483726
radix_sort_lsd;sort_reversed;1321;0.000004328;0.0000000032763058289174866
radix_sort_lsd;sort_almost_sorted;1321;0.00000562;0.0000000042543527630582896
rust_std_sort;sort_random;1321;0.000019897;0.00000001506207418622256
rust_std_sort;sort_sorted;1321;0.000000741;0.0000000005609386828160484
rust_std_sort;sort_reversed;1321;0.000000651;0.0000000004928084784254353
